unique_id,sex,visually_impaired,correctness_score,years_of_experience
735451,female,yes,0.8,9
725421,male,no,0.7,8
715411,female,yes,0.6,6
705401,female,no,0.5,7
735425,male,yes,0.4,3
734424,male,yes,0.5,3
733433,male,no,0.7,6
732422,male,no,0.9,12
731421,female,no,1.0,15
730420,female,no,0.7,6
795421,female,no,0.8,10
785421,female,yes,0.4,3
775421,male,yes,0.3,2
765421,male,yes,0.4,4
735921,female,no,0.4,3
735821,male,yes,0.2,1
735721,female,no,0.3,4
735621,male,no,0.4,5
735521,female,yes,0.5,4
