study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,51.811290922619,35.518973214286,0,394,394,10.493048868542,"RealEye v15.35.3; FixationFilterSettings [gazePointInterpolationHz = 30; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 150; minFixationDurationMs = 80; maxFixationDurationMs = 400; movingMediaRangeMs = 200; saccadeMaxDurationMs = 150]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderNotSpecified=true;exposureNumber=;qualityMin=1;qualityMax=6;isParticipantTypeRealEye=true;isParticipantTypeNonRealEye=true;isDeviceDesktop=true;isDeviceSmartphone=true;isDeviceTablet=true;isSetupLocal=true;isSetupMouse=true;isSetupOpengaze=true]; 2024-02-28T19:21:34+00:00"
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,63.746420680014,32.711226851852,425,821,396,9.3170944951609,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,74.069010416667,37.650462962963,851,1251,400,2.572666184377,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,75.757349146021,41.954849420127,1269,1668,399,4.7495203768376,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,70.341303661616,40.885416666667,1698,2098,400,4.8941436711259,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,64.885426530934,38.523705479272,2128,2512,384,6.8749438869042,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,72.174479166667,33.163930976431,2530,2908,378,23.35625990148,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,85.459543350168,74.537913860831,2941,3325,384,6.3744798865311,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,90.19072561553,84.453190761785,3343,3732,389,15.81926819284,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,103.08776238952,61.74935271615,3750,4125,375,19.840319027847,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,81.78943452381,47.464037698413,4157,4554,397,19.785084177751,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,60.576679180195,33.095275673401,4586,4925,339,9.8486310217364,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,63.313802083333,52.58556547619,4958,5328,370,27.298766194931,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,37.417219065657,21.265241702742,5360,5759,399,17.854847841933,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,17.48193506006,12.879676551552,5791,5949,158,40.785159170595,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,61.626838235294,40.476842567835,5967,6357,390,2.2385917388073,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,64.031982421875,42.078993055556,6389,6780,391,4.672224424134,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,59.440104166667,46.996527777778,6798,7178,380,1.4776401719071,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,58.153044871795,48.958333333333,7209,7596,387,1.728150107014,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,58.275257457386,45.440077861953,7627,8023,396,3.3857392813443,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,62.131076388889,44.600694444444,8054,8443,389,0.64651436719969,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,62.018246389991,45.904063786008,8473,8852,379,3.0509917131655,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,63.460450862795,51.574556327161,8885,9266,381,10.185249017539,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,55.703125,67.112268518519,9298,9693,395,4.078910731067,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,51.034412202381,67.687913359788,9722,10099,377,4.7202153577578,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,53.150181283319,58.825085344183,10132,10514,382,12.120644137275,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,62.477805397727,40.488215488215,10545,10639,94,4.552941231321,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,58.33818958819,46.152530918156,10669,11008,339,38.916385147756,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,13.694114439853,44.793818870523,11039,11313,274,45.467882185027,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,65.820180976431,41.100019290123,11331,11660,329,32.890871616976,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,60.924479166667,107.62152777778,11691,11843,152,30.962042867629,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,66.233871922348,45.176701914983,11861,12245,384,6.9160555666401,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,72.974830146705,37.734287317621,12277,12673,396,4.1613240420213,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,76.363395922112,31.754680595013,12705,13092,387,9.9700135061192,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,65.695628156566,39.095643939394,13123,13508,385,5.2248450262075,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,60.633461349607,44.804234474373,13526,13907,381,1.0374928249534,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,60.06109775641,42.948717948718,13937,14325,388,1.9011265248684,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,62.158572330447,41.884329405163,14354,14727,373,16.510062940058,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,cd9bfa97-8ee8-455f-9903-10032b8b86ed,,"Temp, Male, 21",,6,6,1,1,81.082307449495,43.394009539843,14758,15000,242,,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,da1181a8-5d64-4690-9e8f-f0bf7d2ab39c,,"Temp2, Male, 20",,6,6,1,1,41.093921326754,79.403815528404,86,471,385,13.95306952556,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,da1181a8-5d64-4690-9e8f-f0bf7d2ab39c,,"Temp2, Male, 20",,6,6,1,1,46.960331552128,52.923045559764,504,900,396,1.8414415172696,
d99b4ce8-3bdf-4c5d-9976-0c54fce12711,82e9d0a5-b4cc-48e5-a947-33ddedcf0aef,keratoacanthoma_15703_lg.webp,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d99b4ce8-3bdf-4c5d-9976-0c54fce12711/project_lg_82e9d0a5-b4cc-48e5-a947-33ddedcf0aef.jpg?v=15.35.3,da1181a8-5d64-4690-9e8f-f0bf7d2ab39c,,"Temp2, Male, 20",,6,6,1,1,48.029025372775,49.682948866977,918,1288,370,2.2045004151945,
